COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Hot Dipped Galvanised Steel Bar,20 x 12,HDG2012,HOT DIP GALVANISED STEEL BAR 20 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,25 x 3,HDG2503,HOT DIP GALVANISED STEEL BAR 25 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,25 x 4,HDG2504,HOT DIP GALVANISED STEEL BAR 25 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,25 x 5,HDG2505,HOT DIP GALVANISED STEEL BAR 25 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,25 x 6,HDG2506,HOT DIP GALVANISED STEEL BAR 25 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,25 x 8,HDG2508,HOT DIP GALVANISED STEEL BAR 25 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,25 x 10,HDG2510,HOT DIP GALVANISED STEEL BAR 25 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,25 x 12,HDG2512,HOT DIP GALVANISED STEEL BAR 25 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,30 x 3,HDG3003,HOT DIP GALVANISED STEEL BAR 30 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,30 x 5,HDG3005,HOT DIP GALVANISED STEEL BAR 30 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,30 x 6,HDG3006,HOT DIP GALVANISED STEEL BAR 30 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,30 x 8,HDG3008,HOT DIP GALVANISED STEEL BAR 30 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,30 x 10,HDG3010,HOT DIP GALVANISED STEEL BAR 30 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,30 x 12,HDG3012,HOT DIP GALVANISED STEEL BAR 30 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,30 x 15,HDG3015,HOT DIP GALVANISED STEEL BAR 30 X 15MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,31 x 3,HDG3103,HOT DIP GALVANISED STEEL BAR 31 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,31 x 4,HDG3104,HOT DIP GALVANISED STEEL BAR 31 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,31 x 5,HDG3105,HOT DIP GALVANISED STEEL BAR 31 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,31 x 6,HDG3106,HOT DIP GALVANISED STEEL BAR 31 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,31 x 8,HDG3108,HOT DIP GALVANISED STEEL BAR 31 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,31 x 10,HDG3110,HOT DIP GALVANISED STEEL BAR 31 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,31 x 12,HDG3112,HOT DIP GALVANISED STEEL BAR 31 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,32 x 3,HDG3203,HOT DIP GALVANISED STEEL BAR 32 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,32 x 4,HDG3204,HOT DIP GALVANISED STEEL BAR 32 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,32 x 5,HDG3205,HOT DIP GALVANISED STEEL BAR 32 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,32 x 6,HDG3206,HOT DIP GALVANISED STEEL BAR 32 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,32 x 8,HDG3208,HOT DIP GALVANISED STEEL BAR 32 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,32 x 10,HDG3210,HOT DIP GALVANISED STEEL BAR 32 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,32 x 12,HDG3212,HOT DIP GALVANISED STEEL BAR 32 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,38 x 3,HDG3803,HOT DIP GALVANISED STEEL BAR 38 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,38 x 4,HDG3804,HOT DIP GALVANISED STEEL BAR 38 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,38 x 5,HDG3805,HOT DIP GALVANISED STEEL BAR 38 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,38 x 6,HDG3806,HOT DIP GALVANISED STEEL BAR 38 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,38 x 8,HDG3808,HOT DIP GALVANISED STEEL BAR 38 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,38 x 10,HDG3810,HOT DIP GALVANISED STEEL BAR 38 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,38 x 12,HDG3812,HOT DIP GALVANISED STEEL BAR 38 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,40 x 3,HDG4003,HOT DIP GALVANISED STEEL BAR 40 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,40 x 4,HDG4004,HOT DIP GALVANISED STEEL BAR 40 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,40 x 5,HDG4005,HOT DIP GALVANISED STEEL BAR 40 X 5MM,0
Bar material / finish,Hot Dipped Galvanised Steel Bar,40 x 6,HDG4006,HOT DIP GALVANISED STEEL BAR 40 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,40 x 8,HDG4008,HOT DIP GALVANISED STEEL BAR 40 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,40 x 10,HDG4010,HOT DIP GALVANISED STEEL BAR 40 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,40 x 12,HDG4012,HOT DIP GALVANISED STEEL BAR 40 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 3,HDG5003,HOT DIP GALVANISED STEEL BAR 50 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 4,HDG5004,HOT DIP GALVANISED STEEL BAR 50 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 5,HDG5005,HOT DIP GALVANISED STEEL BAR 50 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 6,HDG5006,HOT DIP GALVANISED STEEL BAR 50 X 6MM,9.19632
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 8,HDG5008,HOT DIP GALVANISED STEEL BAR 50 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 10,HDG5010,HOT DIP GALVANISED STEEL BAR 50 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 12,HDG5012,HOT DIP GALVANISED STEEL BAR 50 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,50 x 15,HDG5015,HOT DIP GALVANISED STEEL BAR 50 X 15MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 3,HDG6003,HOT DIP GALVANISED STEEL BAR 60 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 4,HDG6004,HOT DIP GALVANISED STEEL BAR 60 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 5,HDG6005,HOT DIP GALVANISED STEEL BAR 60 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 6,HDG6006,HOT DIP GALVANISED STEEL BAR 60 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 8,HDG6008,HOT DIP GALVANISED STEEL BAR 60 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 10,HDG6010,HOT DIP GALVANISED STEEL BAR 60 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 12,HDG6012,HOT DIP GALVANISED STEEL BAR 60 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,60 x 15,HDG6015,HOT DIP GALVANISED STEEL BAR 60 X 15MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,63 x 3,HDG6303,HOT DIP GALVANISED STEEL BAR 63 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,63 x 4,HDG6304,HOT DIP GALVANISED STEEL BAR 63 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,63 x 5,HDG6305,HOT DIP GALVANISED STEEL BAR 63 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,63 x 6,HDG6306,HOT DIP GALVANISED STEEL BAR 63 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,63 x 8,HDG6308,HOT DIP GALVANISED STEEL BAR 63 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,63 x 10,HDG6310,HOT DIP GALVANISED STEEL BAR 63 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,63 x 12,HDG6312,HOT DIP GALVANISED STEEL BAR 63 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,65 x 3,HDG6503,HOT DIP GALVANISED STEEL BAR 65 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,65 x 4,HDG6504,HOT DIP GALVANISED STEEL BAR 65 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,65 x 5,HDG6505,HOT DIP GALVANISED STEEL BAR 65 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,65 x 6,HDG6506,HOT DIP GALVANISED STEEL BAR 65 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,65 x 8,HDG6508,HOT DIP GALVANISED STEEL BAR 65 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,65 x 10,HDG6510,HOT DIP GALVANISED STEEL BAR 65 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,65 x 12,HDG6512,HOT DIP GALVANISED STEEL BAR 65 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,70 x 4,HDG7004,HOT DIP GALVANISED STEEL BAR 70 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,70 x 5,HDG7005,HOT DIP GALVANISED STEEL BAR 70 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,70 x 6,HDG7006,HOT DIP GALVANISED STEEL BAR 70 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,70 x 8,HDG7008,HOT DIP GALVANISED STEEL BAR 70 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,70 x 10,HDG7010,HOT DIP GALVANISED STEEL BAR 70 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,70 x 12,HDG7012,HOT DIP GALVANISED STEEL BAR 70 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 3,HDG7503,HOT DIP GALVANISED STEEL BAR 75 X 3MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 4,HDG7504,HOT DIP GALVANISED STEEL BAR 75 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 5,HDG7505,HOT DIP GALVANISED STEEL BAR 75 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 6,HDG7506,HOT DIP GALVANISED STEEL BAR 75 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 8,HDG7508,HOT DIP GALVANISED STEEL BAR 75 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 10,HDG7510,HOT DIP GALVANISED STEEL BAR 75 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 12,HDG7512,HOT DIP GALVANISED STEEL BAR 75 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,75 x 12.5,HDG7512.5,HOT DIP GALVANISED STEEL BAR 75 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,80 x 5,HDG8005,HOT DIP GALVANISED STEEL BAR 80 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,80 x 6,HDG8006,HOT DIP GALVANISED STEEL BAR 80 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,80 x 8,HDG8008,HOT DIP GALVANISED STEEL BAR 80 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,80 x 10,HDG8010,HOT DIP GALVANISED STEEL BAR 80 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,80 x 12,HDG8012,HOT DIP GALVANISED STEEL BAR 80 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,100 x 4,HDG10004,HOT DIP GALVANISED STEEL BAR 10 X 4MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,100 x 5,HDG10005,HOT DIP GALVANISED STEEL BAR 10 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,100 x 6,HDG10006,HOT DIP GALVANISED STEEL BAR 10 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,100 x 8,HDG10008,HOT DIP GALVANISED STEEL BAR 10 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,100 x 10,HDG10010,HOT DIP GALVANISED STEEL BAR 10 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,100 x 12,HDG10012,HOT DIP GALVANISED STEEL BAR 10 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,100 x 15,HDG10015,HOT DIP GALVANISED STEEL BAR 10 X 15MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,120 x 5,HDG12005,HOT DIP GALVANISED STEEL BAR 12 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,120 x 6,HDG12006,HOT DIP GALVANISED STEEL BAR 12 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,120 x 8,HDG12008,HOT DIP GALVANISED STEEL BAR 12 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,120 x 10,HDG12010,HOT DIP GALVANISED STEEL BAR 12 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,120 x 12,HDG12012,HOT DIP GALVANISED STEEL BAR 12 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,125 x 6,HDG12506,HOT DIP GALVANISED STEEL BAR 12 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,125 x 8,HDG12508,HOT DIP GALVANISED STEEL BAR 12 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,125 X 10,HDG12510,HOT DIP GALVANISED STEEL BAR 12 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,125 x 12,HDG12512,HOT DIP GALVANISED STEEL BAR 12 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,127 x 6,HDG12706,HOT DIP GALVANISED STEEL BAR 12 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,150 x 5,HDG15005,HOT DIP GALVANISED STEEL BAR 15 X 5MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,150 x 6,HDG15006,HOT DIP GALVANISED STEEL BAR 15 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,150 x 8,HDG15008,HOT DIP GALVANISED STEEL BAR 15 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,150 X 10,HDG15010,HOT DIP GALVANISED STEEL BAR 15 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,150 x 12,HDG15012,HOT DIP GALVANISED STEEL BAR 15 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,200 x 6,HDG20006,HOT DIP GALVANISED STEEL BAR 20 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,200 x 8,HDG20008,HOT DIP GALVANISED STEEL BAR 20 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,200 x 10,HDG20010,HOT DIP GALVANISED STEEL BAR 20 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,200 x 12,HDG20012,HOT DIP GALVANISED STEEL BAR 20 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,250 x 6,HDG25006,HOT DIP GALVANISED STEEL BAR 25 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,250 x 8,HDG25008,HOT DIP GALVANISED STEEL BAR 25 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,250 x 10,HDG25010,HOT DIP GALVANISED STEEL BAR 25 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,250 x 12,HDG25012,HOT DIP GALVANISED STEEL BAR 25 X 12MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,300 x 6,HDG30006,HOT DIP GALVANISED STEEL BAR 30 X 6MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,300 x 8,HDG30008,HOT DIP GALVANISED STEEL BAR 30 X 8MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,300 x 10,HDG30010,HOT DIP GALVANISED STEEL BAR 30 X 10MM,
Bar material / finish,Hot Dipped Galvanised Steel Bar,300 x 12,HDG30012,HOT DIP GALVANISED STEEL BAR 30 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,10 x 5,HDN1005,NICKEL PLATED HARD DRAWN COPPER BAR 10 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,15 x 5,HDN1505,NICKEL PLATED HARD DRAWN COPPER BAR 15 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,16 x 6,HDN1606,NICKEL PLATED HARD DRAWN COPPER BAR 16 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,20 x 3,HDN2003,NICKEL PLATED HARD DRAWN COPPER BAR 20 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,20 x 4,HDN2004,NICKEL PLATED HARD DRAWN COPPER BAR 20 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,20 x 5,HDN2005,NICKEL PLATED HARD DRAWN COPPER BAR 20 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,20 x 6,HDN2006,NICKEL PLATED HARD DRAWN COPPER BAR 20 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,20 x 8,HDN2008,NICKEL PLATED HARD DRAWN COPPER BAR 20 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,20 x 10,HDN2010,NICKEL PLATED HARD DRAWN COPPER BAR 20 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,20 x 12,HDN2012,NICKEL PLATED HARD DRAWN COPPER BAR 20 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,25 x 3,HDN2503,NICKEL PLATED HARD DRAWN COPPER BAR 25 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,25 x 4,HDN2504,NICKEL PLATED HARD DRAWN COPPER BAR 25 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,25 x 5,HDN2505,NICKEL PLATED HARD DRAWN COPPER BAR 25 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,25 x 6,HDN2506,NICKEL PLATED HARD DRAWN COPPER BAR 25 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,25 x 8,HDN2508,NICKEL PLATED HARD DRAWN COPPER BAR 25 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,25 x 10,HDN2510,NICKEL PLATED HARD DRAWN COPPER BAR 25 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,25 x 12,HDN2512,NICKEL PLATED HARD DRAWN COPPER BAR 25 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,30 x 3,HDN3003,NICKEL PLATED HARD DRAWN COPPER BAR 30 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,30 x 5,HDN3005,NICKEL PLATED HARD DRAWN COPPER BAR 30 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,30 x 6,HDN3006,NICKEL PLATED HARD DRAWN COPPER BAR 30 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,30 x 8,HDN3008,NICKEL PLATED HARD DRAWN COPPER BAR 30 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,30 x 10,HDN3010,NICKEL PLATED HARD DRAWN COPPER BAR 30 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,30 x 12,HDN3012,NICKEL PLATED HARD DRAWN COPPER BAR 30 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,30 x 15,HDN3015,NICKEL PLATED HARD DRAWN COPPER BAR 30 X 15MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,31 x 3,HDN3103,NICKEL PLATED HARD DRAWN COPPER BAR 31 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,31 x 4,HDN3104,NICKEL PLATED HARD DRAWN COPPER BAR 31 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,31 x 5,HDN3105,NICKEL PLATED HARD DRAWN COPPER BAR 31 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,31 x 6,HDN3106,NICKEL PLATED HARD DRAWN COPPER BAR 31 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,31 x 8,HDN3108,NICKEL PLATED HARD DRAWN COPPER BAR 31 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,31 x 10,HDN3110,NICKEL PLATED HARD DRAWN COPPER BAR 31 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,31 x 12,HDN3112,NICKEL PLATED HARD DRAWN COPPER BAR 31 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,32 x 3,HDN3203,NICKEL PLATED HARD DRAWN COPPER BAR 32 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,32 x 4,HDN3204,NICKEL PLATED HARD DRAWN COPPER BAR 32 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,32 x 5,HDN3205,NICKEL PLATED HARD DRAWN COPPER BAR 32 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,32 x 6,HDN3206,NICKEL PLATED HARD DRAWN COPPER BAR 32 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,32 x 8,HDN3208,NICKEL PLATED HARD DRAWN COPPER BAR 32 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,32 x 10,HDN3210,NICKEL PLATED HARD DRAWN COPPER BAR 32 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,32 x 12,HDN3212,NICKEL PLATED HARD DRAWN COPPER BAR 32 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,38 x 3,HDN3803,NICKEL PLATED HARD DRAWN COPPER BAR 38 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,38 x 4,HDN3804,NICKEL PLATED HARD DRAWN COPPER BAR 38 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,38 x 5,HDN3805,NICKEL PLATED HARD DRAWN COPPER BAR 38 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,38 x 6,HDN3806,NICKEL PLATED HARD DRAWN COPPER BAR 38 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,38 x 8,HDN3808,NICKEL PLATED HARD DRAWN COPPER BAR 38 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,38 x 10,HDN3810,NICKEL PLATED HARD DRAWN COPPER BAR 38 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,38 x 12,HDN3812,NICKEL PLATED HARD DRAWN COPPER BAR 38 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,40 x 3,HDN4003,NICKEL PLATED HARD DRAWN COPPER BAR 40 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,40 x 4,HDN4004,NICKEL PLATED HARD DRAWN COPPER BAR 40 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,40 x 5,HDN4005,NICKEL PLATED HARD DRAWN COPPER BAR 40 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,40 x 6,HDN4006,NICKEL PLATED HARD DRAWN COPPER BAR 40 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,40 x 8,HDN4008,NICKEL PLATED HARD DRAWN COPPER BAR 40 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,40 x 10,HDN4010,NICKEL PLATED HARD DRAWN COPPER BAR 40 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,40 x 12,HDN4012,NICKEL PLATED HARD DRAWN COPPER BAR 40 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 3,HDN5003,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 4,HDN5004,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 5,HDN5005,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 6,HDN5006,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 8,HDN5008,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 10,HDN5010,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 12,HDN5012,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,50 x 15,HDN5015,NICKEL PLATED HARD DRAWN COPPER BAR 50 X 15MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 3,HDN6003,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 4,HDN6004,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 5,HDN6005,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 5MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 6,HDN6006,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 6MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 8,HDN6008,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 8MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 10,HDN6010,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 10MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 12,HDN6012,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 12MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,60 x 15,HDN6015,NICKEL PLATED HARD DRAWN COPPER BAR 60 X 15MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,63 x 3,HDN6303,NICKEL PLATED HARD DRAWN COPPER BAR 63 X 3MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,63 x 4,HDN6304,NICKEL PLATED HARD DRAWN COPPER BAR 63 X 4MM,
Bar material / finish,Nickel Plated Hard Drawn Copper Bar,63 x 5,HDN6305,NICKEL PLATED HARD DRAWN COPPER BAR 63 X 5MM,
