COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Tinned Hard Drawn Copper Bar,150 x 12,HDT15012,TINNED HARD DRAWN COPPER BAR 150 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,150 x 5,HD15005,BARE HARD DRAWN COPPER BAR 150 X 5MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,150 x 5,HDT15005,TINNED HARD DRAWN COPPER BAR 150 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,150 x 6,HD15006,BARE HARD DRAWN COPPER BAR 150 X 6MM,48.9
Bar material / finish,Tinned Hard Drawn Copper Bar,150 x 6,HDT15006,TINNED HARD DRAWN COPPER BAR 150 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,150 x 8,HD15008,BARE HARD DRAWN COPPER BAR 150 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,150 x 8,HDT15008,TINNED HARD DRAWN COPPER BAR 150 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,16 x 6,HD1606,BARE HARD DRAWN COPPER BAR 16 X 6MM,10
Bar material / finish,Tinned Hard Drawn Copper Bar,16 x 6,HDT1606,TINNED HARD DRAWN COPPER BAR 16 X 6MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,20 x 10,HD2010,BARE HARD DRAWN COPPER BAR 20 X 10MM,8.81
Bar material / finish,Tinned Hard Drawn Copper Bar,20 x 10,HDT2010,TINNED HARD DRAWN COPPER BAR 20 X 10MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,20 x 12,HD2012,BARE HARD DRAWN COPPER BAR 20 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,20 x 12,HDT2012,TINNED HARD DRAWN COPPER BAR 20 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,20 x 3,HD2003,BARE HARD DRAWN COPPER BAR 20 X 3MM,4.3
Bar material / finish,Tinned Hard Drawn Copper Bar,20 x 3,HDT2003,TINNED HARD DRAWN COPPER BAR 20 X 3MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,20 x 4,HD2004,BARE HARD DRAWN COPPER BAR 20 X 4MM,8.21
Bar material / finish,Tinned Hard Drawn Copper Bar,20 x 4,HDT2004,TINNED HARD DRAWN COPPER BAR 20 X 4MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,20 x 5,HD2005,BARE HARD DRAWN COPPER BAR 20 X 5MM,5.72
Bar material / finish,Tinned Hard Drawn Copper Bar,20 x 5,HDT2005,TINNED HARD DRAWN COPPER BAR 20 X 5MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,20 x 6,HD2006,BARE HARD DRAWN COPPER BAR 20 X 6MM,4.74539
Bar material / finish,Tinned Hard Drawn Copper Bar,20 x 6,HDT2006,TINNED HARD DRAWN COPPER BAR 20 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,20 x 8,HD2008,BARE HARD DRAWN COPPER BAR 20 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,20 x 8,HDT2008,TINNED HARD DRAWN COPPER BAR 20 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,200 x 10,HD20010,BARE HARD DRAWN COPPER BAR 200 X 10MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,200 x 10,HDT20010,TINNED HARD DRAWN COPPER BAR 200 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,200 x 12,HD20012,BARE HARD DRAWN COPPER BAR 200 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,200 x 12,HDT20012,TINNED HARD DRAWN COPPER BAR 200 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,200 x 6,HD20006,BARE HARD DRAWN COPPER BAR 200 X 6MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,200 x 6,HDT20006,TINNED HARD DRAWN COPPER BAR 200 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,200 x 8,HD20008,BARE HARD DRAWN COPPER BAR 200 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,200 x 8,HDT20008,TINNED HARD DRAWN COPPER BAR 200 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,25 x 10,HD2510,BARE HARD DRAWN COPPER BAR 25 X 10MM,9.6
Bar material / finish,Tinned Hard Drawn Copper Bar,25 x 10,HDT2510,TINNED HARD DRAWN COPPER BAR 25 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,25 x 12,HD2512,BARE HARD DRAWN COPPER BAR 25 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,25 x 12,HDT2512,TINNED HARD DRAWN COPPER BAR 25 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,25 x 3,HD2503,BARE HARD DRAWN COPPER BAR 25 X 3MM,5.03422
Bar material / finish,Tinned Hard Drawn Copper Bar,25 x 3,HDT2503,TINNED HARD DRAWN COPPER BAR 25 X 3MM,11.2
Bar material / finish,Bare Hard Drawn Copper Bar,25 x 4,HD2504,BARE HARD DRAWN COPPER BAR 25 X 4MM,10
Bar material / finish,Tinned Hard Drawn Copper Bar,25 x 4,HDT2504,TINNED HARD DRAWN COPPER BAR 25 X 4MM,0
