COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Tinned Hard Drawn Copper Bar,63 x 10,HDT6310,TINNED HARD DRAWN COPPER BAR 63 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,63 x 12,HD6312,BARE HARD DRAWN COPPER BAR 63 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,63 x 12,HDT6312,TINNED HARD DRAWN COPPER BAR 63 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,63 x 3,HD6303,BARE HARD DRAWN COPPER BAR 63 X 3MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,63 x 3,HDT6303,TINNED HARD DRAWN COPPER BAR 63 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,63 x 4,HD6304,BARE HARD DRAWN COPPER BAR 63 X 4MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,63 x 4,HDT6304,TINNED HARD DRAWN COPPER BAR 63 X 4MM,
Bar material / finish,Bare Hard Drawn Copper Bar,63 x 5,HD6305,BARE HARD DRAWN COPPER BAR 63 X 5MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,63 x 5,HDT6305,TINNED HARD DRAWN COPPER BAR 63 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,63 x 6,HD6306,BARE HARD DRAWN COPPER BAR 63 X 6MM,35.42245
Bar material / finish,Tinned Hard Drawn Copper Bar,63 x 6,HDT6306,TINNED HARD DRAWN COPPER BAR 63 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,63 x 8,HD6308,BARE HARD DRAWN COPPER BAR 63 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,63 x 8,HDT6308,TINNED HARD DRAWN COPPER BAR 63 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,65 x 10,HD6510,BARE HARD DRAWN COPPER BAR 65 X 10MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,65 x 10,HDT6510,TINNED HARD DRAWN COPPER BAR 65 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,65 x 12,HD6512,BARE HARD DRAWN COPPER BAR 65 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,65 x 12,HDT6512,TINNED HARD DRAWN COPPER BAR 65 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,65 x 3,HD6503,BARE HARD DRAWN COPPER BAR 65 X 3MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,65 x 3,HDT6503,TINNED HARD DRAWN COPPER BAR 65 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,65 x 4,HD6504,BARE HARD DRAWN COPPER BAR 65 X 4MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,65 x 4,HDT6504,TINNED HARD DRAWN COPPER BAR 65 X 4MM,
Bar material / finish,Bare Hard Drawn Copper Bar,65 x 5,HD6505,BARE HARD DRAWN COPPER BAR 65 X 5MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,65 x 5,HDT6505,TINNED HARD DRAWN COPPER BAR 65 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,65 x 6,HD6506,BARE HARD DRAWN COPPER BAR 65 X 6MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,65 x 6,HDT6506,TINNED HARD DRAWN COPPER BAR 65 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,65 x 8,HD6508,BARE HARD DRAWN COPPER BAR 65 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,65 x 8,HDT6508,TINNED HARD DRAWN COPPER BAR 65 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,70 x 10,HD7010,BARE HARD DRAWN COPPER BAR 70 X 10MM,30.30752
Bar material / finish,Tinned Hard Drawn Copper Bar,70 x 10,HDT7010,TINNED HARD DRAWN COPPER BAR 70 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,70 x 12,HD7012,BARE HARD DRAWN COPPER BAR 70 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,70 x 12,HDT7012,TINNED HARD DRAWN COPPER BAR 70 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,70 x 4,HD7004,BARE HARD DRAWN COPPER BAR 70 X 3MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,70 x 4,HDT7004,TINNED HARD DRAWN COPPER BAR 70 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,70 x 5,HD7005,BARE HARD DRAWN COPPER BAR 70 X 5MM,20.52
Bar material / finish,Tinned Hard Drawn Copper Bar,70 x 5,HDT7005,TINNED HARD DRAWN COPPER BAR 70 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,70 x 6,HD7006,BARE HARD DRAWN COPPER BAR 70 X 6MM,26.25
Bar material / finish,Tinned Hard Drawn Copper Bar,70 x 6,HDT7006,TINNED HARD DRAWN COPPER BAR 70 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,70 x 8,HD7008,BARE HARD DRAWN COPPER BAR 70 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,70 x 8,HDT7008,TINNED HARD DRAWN COPPER BAR 70 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 10,HD7510,BARE HARD DRAWN COPPER BAR 75 X 10MM,38.15102
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 10,HDT7510,TINNED HARD DRAWN COPPER BAR 75 X 10MM,48.93
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 12,HD7512,BARE HARD DRAWN COPPER BAR 75 X 12MM,55.1
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 12,HDT7512,TINNED HARD DRAWN COPPER BAR 75 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 12.5,HD7512.5,BARE HARD DRAWN COPPER BAR 75 X 12.5MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 12.5,HDT7512.5,TINNED HARD DRAWN COPPER BAR 75 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 3,HD7503,BARE HARD DRAWN COPPER BAR 75 X 3MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 3,HDT7503,TINNED HARD DRAWN COPPER BAR 75 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 4,HD7504,BARE HARD DRAWN COPPER BAR 75 X 4MM,19.37
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 4,HDT7504,TINNED HARD DRAWN COPPER BAR 75 X 4MM,
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 5,HD7505,BARE HARD DRAWN COPPER BAR 75 X 5MM,27.3
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 5,HDT7505,TINNED HARD DRAWN COPPER BAR 75 X 5MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 6,HD7506,BARE HARD DRAWN COPPER BAR 75 X 6MM,32.49373
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 6,HDT7506,TINNED HARD DRAWN COPPER BAR 75 X 6MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,75 x 8,HD7508,BARE HARD DRAWN COPPER BAR 75 X 8MM,36.53502
Bar material / finish,Tinned Hard Drawn Copper Bar,75 x 8,HDT7508,TINNED HARD DRAWN COPPER BAR 75 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,80 x 10,HD8010,BARE HARD DRAWN COPPER BAR 80 X 10MM,55
Bar material / finish,Tinned Hard Drawn Copper Bar,80 x 10,HDT8010,TINNED HARD DRAWN COPPER BAR 80 X 10MM,53.4
Bar material / finish,Bare Hard Drawn Copper Bar,80 x 12,HD8012,BARE HARD DRAWN COPPER BAR 80 X 12MM,42.30016
Bar material / finish,Tinned Hard Drawn Copper Bar,80 x 12,HDT8012,TINNED HARD DRAWN COPPER BAR 80 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,80 x 5,HD8005,BARE HARD DRAWN COPPER BAR 80 X 5MM,19.58
Bar material / finish,Tinned Hard Drawn Copper Bar,80 x 5,HDT8005,TINNED HARD DRAWN COPPER BAR 80 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,80 x 6,HD8006,BARE HARD DRAWN COPPER BAR 80 X 6MM,38.45
Bar material / finish,Tinned Hard Drawn Copper Bar,80 x 6,HDT8006,TINNED HARD DRAWN COPPER BAR 80 X 6MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,80 x 8,HD8008,BARE HARD DRAWN COPPER BAR 80 X 8MM,33.06
Bar material / finish,Tinned Hard Drawn Copper Bar,80 x 8,HDT8008,TINNED HARD DRAWN COPPER BAR 80 X 8MM,0
